device_sn,port,datetime,ETo.value,ETo.error_flag,ETo.error_description,ETo.units
z6-19484,1,2024-01-06,1.133,FALSE,NA,mm
z6-20761,1,2024-01-06,1.248,FALSE,NA,mm
z6-20762,1,2024-01-06,1.377,FALSE,NA,mm
z6-19484,1,2024-01-07,0.742,FALSE,NA,mm
z6-20761,1,2024-01-07,1.28,FALSE,NA,mm
z6-20762,1,2024-01-07,1.039,FALSE,NA,mm
z6-19484,1,2024-01-08,1.142,FALSE,NA,mm
z6-20761,1,2024-01-08,1.103,FALSE,NA,mm
z6-20762,1,2024-01-08,1.116,FALSE,NA,mm
z6-19484,1,2024-01-09,0.984,FALSE,NA,mm
z6-20761,1,2024-01-09,0.986,FALSE,NA,mm
z6-20762,1,2024-01-09,1.127,FALSE,NA,mm
z6-19484,1,2024-01-10,1.122,FALSE,NA,mm
z6-20761,1,2024-01-10,1.248,FALSE,NA,mm
z6-20762,1,2024-01-10,1.261,FALSE,NA,mm
z6-19484,1,2024-01-11,1.334,FALSE,NA,mm
z6-20761,1,2024-01-11,1.624,FALSE,NA,mm
z6-20762,1,2024-01-11,1.365,FALSE,NA,mm
z6-19484,1,2024-01-12,1.069,FALSE,NA,mm
z6-20761,1,2024-01-12,1.215,FALSE,NA,mm
z6-20762,1,2024-01-12,1.245,FALSE,NA,mm
z6-19484,1,2024-01-13,1.298,FALSE,NA,mm
z6-20761,1,2024-01-13,1.644,FALSE,NA,mm
z6-20762,1,2024-01-13,1.361,FALSE,NA,mm
z6-19484,1,2024-01-14,1.463,FALSE,NA,mm
z6-20761,1,2024-01-14,1.84,FALSE,NA,mm
z6-20762,1,2024-01-14,1.475,FALSE,NA,mm
z6-19484,1,2024-01-15,1.23,FALSE,NA,mm
z6-20761,1,2024-01-15,1.584,FALSE,NA,mm
z6-20762,1,2024-01-15,1.476,FALSE,NA,mm
z6-19484,1,2024-01-16,1.218,FALSE,NA,mm
z6-20761,1,2024-01-16,1.513,FALSE,NA,mm
z6-20762,1,2024-01-16,1.419,FALSE,NA,mm
z6-19484,1,2024-01-17,1.382,FALSE,NA,mm
z6-20761,1,2024-01-17,1.872,FALSE,NA,mm
z6-20762,1,2024-01-17,1.56,FALSE,NA,mm
z6-19484,1,2024-01-18,1.393,FALSE,NA,mm
z6-20761,1,2024-01-18,1.802,FALSE,NA,mm
z6-20762,1,2024-01-18,1.542,FALSE,NA,mm
z6-19484,1,2024-01-19,1.276,FALSE,NA,mm
z6-20761,1,2024-01-19,2.127,FALSE,NA,mm
z6-20762,1,2024-01-19,1.502,FALSE,NA,mm
z6-19484,1,2024-01-20,1.039,FALSE,NA,mm
z6-20761,1,2024-01-20,1.754,FALSE,NA,mm
z6-20762,1,2024-01-20,1.418,FALSE,NA,mm
z6-19484,1,2024-01-21,0.357,FALSE,NA,mm
z6-20761,1,2024-01-21,0.623,FALSE,NA,mm
z6-20762,1,2024-01-21,0.729,FALSE,NA,mm
z6-19484,1,2024-01-22,0.771,FALSE,NA,mm
z6-20761,1,2024-01-22,0.986,FALSE,NA,mm
z6-20762,1,2024-01-22,1.044,FALSE,NA,mm
z6-19484,1,2024-01-23,0.668,FALSE,NA,mm
z6-20761,1,2024-01-23,0.712,FALSE,NA,mm
